[00:00] 欢迎收听谷爱,我是星梦宫,本集节目由雨伞王赞助
[39:34] 说不看留言就不看留言
[39:35] 但对某些人而言
[39:36] 很多情绪的来源
[39:37] 根本就无法忽略
[39:38] 例如某些教授
[39:39] 情绪管理有问题
[39:40] 把底下的研究生当狗在干
[39:42] 但为了毕业
[39:43] 只能够忍气吞声
[39:44] 又例如主管开会
[39:45] 常常报气
[39:46] 当大家的面板一骂
[39:47] 一文不值
[39:48] 但为了生活
[39:48] 你依然不能够选择离职
[39:50] 挂了不确定的因素太大
[39:52] 家计因素等等的
[39:53] 那此时似乎只剩
[39:55] 暴露疗法可以治疗玻璃心
[39:57] 但每次我看到主管
[39:58] 报气摔东西的时候
[39:59] 还是会想拿东西
[40:00] 督进他的身体里
[40:02] 好啦我只是说说
[40:03] 祝孟公一生平安
[40:04] 儿子女儿们都不会遇到这种击败人
[40:07] 这位FAU
[40:09] 名字取得好
[40:10] 刚好也是现在很红的
[40:11] Fiber Reunited的一个缩写
[40:13] 他说的没错
[40:15] 应该不能够说幸运
[40:17] 是说我自己很有意识的
[40:19] 让我不要去依赖任何东西
[40:22] 严格上来说
[40:23] 你去做股票的人
[40:25] 像我们身边有蛮多
[40:26] 他们就必须要去依附一些组织
[40:28] 那就变成你还是有老板
[40:30] 即便他们已经可以独立作战
[40:32] 但他们就还是有去
[40:33] 然后我就是一直告诉我自己
[40:34] 绝对不能够去
[40:35] 就即便你可能有提升的机会
[40:37] 但我不要
[40:37] 我宁愿
[40:38] 就算慢一点
[40:38] 我也没有关系
[40:39] 我也不要去
[40:39] 那再来就是像有这个节目
[40:42] 有些人可能也会
[40:43] 为了要去维持自己的流量
[40:45] 怎么样
[40:46] 有些话我不能讲
[40:47] 被骂了
[40:48] 我就要去修正我自己
[40:49] 那不然就是
[40:50] 怕惹到什么业配广告厂商
[40:52] 小弟就是
[40:53] 反正我讲来听听
[40:55] 你妈你要来干扰我做事情的话
[40:56] 我宁愿就不要做了
[40:57] 所以我随时抱持着
[40:59] 失去一切的准备
[41:01] 我觉得是因为这样子
[41:01] 所以才可以
[41:02] 过现在自己想要的一个生活
[41:05] 那我非常感谢我老婆
[41:06] 在这一路的扶持
[41:08] 为什么
[41:08] 因为其实我最早
[41:09] 在做一些事情的时候
[41:11] 其实我也是没有那个自信
[41:13] 认为说我自己可以
[41:14] 所以我会想要去
[41:15] 就像说像有些饭局
[41:17] 我就认为我一定要去
[41:17] 我老婆就说
[41:18] 其实你不需要去
[41:19] 或者像以前
[41:19] 我可能在上班的时候
[41:21] 因为我跟我老婆认识的时候
[41:22] 我还是有在工作
[41:24] 那我老婆那时候
[41:25] 就会跟我俩说
[41:26] 其实你根本不需要
[41:26] 帮那个人工作
[41:27] 因为怎么样怎么样
[41:28] 然后那时候我都觉得说
[41:29] 只是他吃醋
[41:30] 他不想要我出去什么的
[41:32] 然后后来才懂
[41:32] 就是我其实真的不需要这些人
[41:34] 但如果他没有给我这个勇气的话
[41:37] 我觉得按照我被养大的方式
[41:39] 或是我所在的环境
[41:40] 我有可能
[41:41] 我真的还在一些地方工作
[41:43] 或是我会去屈居一些地方
[41:46] 或甚至是说
[41:47] 就在说他自己有一点声量了
[41:49] 理论上可以决定一点东西
[41:50] 可是你看很多人还是
[41:51] 他今天被骂一下
[41:52] 他就立刻出来跟大家道歉
[41:53] 可是我被骂
[41:54] 你看我都直接干回去
[41:55] 你们真的有些人要cancel的话
[41:57] 你就去cancel
[41:58] 我反而会希望说
[41:59] 有朝一日假设我被cancel
[42:01] 你们会出来帮我讲话
[42:02] 然后让我不被cancel
[42:03] 但如果说真的没有人要帮我讲话
[42:05] 我真的要被cancel
[42:06] 那就大家拜拜
[42:06] 就是我抱持这个心态
[42:08] 我觉得说干你要骂
[42:09] 谁也不欠谁
[42:10] 没事
[42:10] 就没有什么太大的问题
[42:12] 我希望大家有朝一日
[42:13] 都可以走向这样子的一个方向
[42:15] 就是为自己工作
[42:16] 为自己负责
[42:17] 我也希望我孩子是这样
[42:18] 我不希望他未来可能大富大贵
[42:21] 或是要去哪里当什么CEO
[42:22] 我只希望
[42:23] 不知道他开一个
[42:24] 小漫画店之类的
[42:26] 那他可以养活他自己
[42:28] 或者甚至是
[42:29] 他不一定可以养活他自己
[42:30] 爸爸会帮他之类的
[42:31] 因为反正家里
[42:32] 一定会留一点东西给他
[42:32] 后来就注意到
[42:33] 像我们身边有些
[42:34] 你可以去酸人家
[42:35] 富二代靠爸
[42:36] 可是人家爸爸
[42:37] 就真的很认真
[42:38] 然后就让他
[42:39] 他真的可以做他喜欢
[42:40] 做的事情
[42:41] 然后家里都会去支持他
[42:42] 那我觉得
[42:42] 自动主义的社会
[42:44] 就是一个接力赛
[42:45] 所以就持续地
[42:46] 把这个东西传下去
[42:47] 就希望他以后
[42:47] 也不用去面对
[42:48] 可能当时
[42:48] 我也曾经面对过的东西
[42:50] 就我最早
[42:51] 像我去帮人家工作的时候
[42:53] 我也是有蛮多委屈
[42:54] 只是有些东西
[42:54] 不能在这个节目上
[42:55] 拿出来去吐
[42:56] 因为那有些是什么
[42:57] 前老板
[42:58] 那个机师的东西
[42:59] 拿出来吐
[43:00] 因为真的太生气了
[43:01] 所以拿出来吐
[43:02] 但有些东西
[43:02] 我就也不会再讲了
[43:04] 就有啦
[43:04] 一定有吃过
[43:05] 就是因为你吃过那些东西
[43:06] 你就是发誓
[43:07] 自己再不要再吃那些东西
[43:09] 所以才会走出来
[43:10] 然后也发誓
[43:11] 我不要让我孩子
[43:12] 去忍受这种委屈
[43:13] 我以前在学校
[43:14] 什么
[43:15] 妈的
[43:16] 训教主任把我压在地上
[43:17] 然后拿藤条打我
[43:18] 以后谁敢打我小孩
[43:19] 他妈试试看看
[43:19] 我一定去打你
[43:20] 下面一位
[43:21] 旋转龟头
[43:22] 孟公午安
[43:23] 请问功能性训练
[43:24] 对主委的体态或训练
[43:26] 有何实质性的帮助
[43:29] 那住家附近的健身房教练
[43:31] 会功能性训练的
[43:32] 比不会的费用
[43:33] 差了几千块
[43:34] 在想要不要纸上
[43:35] 感谢回复
[43:36] 然后近期社群上
[43:37] 充斥大量的AI图
[43:38] 真的很够烦
[43:39] 那拜托主委
[43:40] 用多米多罗的语气说
[43:41] 我不会学多米多罗
[43:43] 我只知道他那个
[43:44] 北七耶
[43:45] 好啦
[43:45] 那那个功能性训练
[43:47] 有什么实质的帮助
[43:49] 我至今
[43:50] 其实我是蛮密集的上课
[43:51] 我大概一个礼拜
[43:52] 会尝到两到三堂去
[43:53] 虽然并没有说
[43:55] 上了什么半年一年
[43:56] 可是至今对我的改变
[43:58] 是非常显著的
[43:59] 我觉得首先就是
[44:01] 你注意到你的关节的活动度
[44:03] 变得很好
[44:03] 然后再来是
[44:04] 你在做一些发力的时候
[44:06] 就要说你在网球的运用上面
[44:08] 你发现说
[44:09] 你打的比之前更好
[44:11] 你会知道说怎么样发力
[44:12] 你不会说什么打完
[44:13] 就只有手在算
[44:14] 你会全身的肌肉
[44:15] 都会有办法去做运用
[44:17] 知道怎么样踩地
[44:18] 然后到髋
[44:18] 然后到腰
[44:19] 到你的左胸可能拉出去
[44:22] 然后右手再把它带出去
[44:23] 就是你会有办法去解构你的身体
[44:25] 甚至是我讲一个最北岚的
[44:27] 我每天早上醒来
[44:29] 然后可能去刷牙
[44:30] 去把维持器拿下来再洗的时候
[44:32] 以前你不知道
[44:34] 所以你可能长期有些背痛的问题
[44:37] 可是后来你就发现说
[44:37] 我今天这样站的时候
[44:38] 我感觉我背不太对
[44:39] 所以你会挪动一两节脊椎
[44:41] 我很难去形容那种感觉
[44:43] 但你现在有办法抓到说
[44:44] OK我知道我身体要怎么样站
[44:46] 好那我家的重心呢
[44:48] 就不会说是在不对的地方
[44:50] 导致我的腰在承受我的重量
[44:52] 我即便我只是在那边洗东西
[44:53] 又是洗水果
[44:54] 我都知道说
[44:55] OK我家腰要怎么样站
[44:56] 所以我觉得很赞
[44:57] 我非常喜欢
[44:58] 但有可能是我教练是鬼神
[45:00] 因为我已经在健身房里面
[45:01] 物色他很久了
[45:02] 我就已经
[45:03] 虽然这样讲起来
[45:04] 有点那种难分难舍的感觉
[45:06] 就是有种那种gay感
[45:07] 但我就是一直知道说
[45:08] 那个人他不太一样
[45:10] 所以他有可能
[45:11] 因为我后来知道说
[45:12] 他是很厉害的人
[45:13] 然后就是他是很多人的教练
[45:15] 他是教练的教练
[45:16] 类似这样
[45:16] 所以有可能我是遇到极屌的人
[45:19] 这个我不排除
[45:20] 但以他教我的东西
[45:22] 他把它称为是功能性
[45:23] 或者技能性训练
[45:24] 我觉得是超级值得去学的东西
[45:27] 那对你有没有用
[45:28] 很简单
[45:29] 你就付点钱去上课
[45:30] 没有用就立刻跳
[45:31] 就这样就好
[45:32] 因为这个东西理论上
[45:33] 像我自己是学不到
[45:35] 他妈一两个礼拜
[45:35] 我立刻就发现不一样
[45:36] 所以可以去试试
[45:38] 给这个旋转龟头参考一下
[45:41] 下面一位
[45:41] 波波爱上梦工
[45:43] 这集的标题可以用白菜吗
[45:44] OK
[45:45] 孟公去吧安安
[45:46] 最近重看福利连有个感受
[45:48] 西梅尔那么认真的留下旁人以为的自恋
[45:51] 但其实那个都是爱的痕迹
[45:53] 即便福利连在遥远的将来才感受到
[45:55] 我就觉得如果我是诺亚安哥
[45:57] 在未来某天听到爸爸节目是这样爱着我们
[46:00] 我一定会感动到落泪
[46:01] 那人是不是上了年纪
[46:03] 内线就会变发达呢
[46:04] 也祝孟公祝我早日遇到生命中的爱人爱您
[46:08] 我觉得这个就是很讽刺一点
[46:09] 就是你不太确定
[46:11] 有朝一日你儿子是会谢谢你
[46:12] 还是会讨厌你
[46:13] 但是我盡量不要去做一個可能會被討厭的父親
[46:17] 我盡量當我孩子有需要的時候我就會立刻在那邊
[46:20] 可是我同時我也知道我不能夠寵壞他
[46:22] 我不能讓他依賴我 他還是要獨立
[46:24] 所以有時候還是要鼓勵他
[46:25] 就把他丟到水裡面 希望他會游泳之類的
[46:27] 當然我們會去幫他做好一些訓練
[46:29] 所以那個收放之間
[46:31] 是我輩身為這種父親的這幾位兄弟們
[46:35] 聽眾們大家都在學習的東西
[46:37] 我們希望我們都可以當一個至少孩子
[46:40] 我覺得媽如果說我掛掉
[46:42] 我是真的可以
[46:42] 就是灵魂会飘出身体下
[46:44] 他一定要趴在我身上狂哭
[46:46] 就是我一定要看到这个画面
[46:48] 我就觉得我是一个成功的父亲
[46:50] 大概这样子
[46:51] 然后再来前面讲说
[46:51] 心没而留下旁人以为的自恋
[46:55] 这点我突然有一个想法
[46:57] 但跟你的东西可能不一定有关
[46:59] 就是我以前也会去思考说
[47:01] 我今天讲的一些东西
[47:02] 就要说我自己下来
[47:03] 还是有一些群组
[47:04] 一些不管是股票朋友
[47:06] 或者是什么样的朋友
[47:06] 或者说觉得说
[47:07] 我会不会在这边讲太多了
[47:09] 我现在会不会去评论太多了
[47:11] 或是我現在講的東西會不會怎麼樣之類
[47:13] 就是我有很多那種懷疑自己
[47:15] 那我覺得以前有這樣子的想法是好的
[47:17] 就是你確實不要去干擾大家或怎麼樣
[47:19] 可是後來我現在越來越自我
[47:22] 也有可能是年紀大
[47:23] 你知道一些長輩後來就不管人家了
[47:24] 那走路走一走順便隨屁之類的
[47:26] 或者說亂插隊
[47:27] 我們不要踏到那個極端
[47:29] 可是我們可以從保守這邊去
[47:31] 稍微往光譜的中間站一點
[47:33] 也就是你現在想說什麼就說什麼
[47:35] 你想跟他說我愛你就說我愛你
[47:38] 就即便可能有一點gay沒有關係
[47:39] 你就是想說什麼
[47:40] 你当下就是立刻说过什么
[47:42] 那即便可能当下看起来很尴尬
[47:44] 或是很奇怪之类的
[47:46] 但你不会有任何的遗憾
[47:47] 然后有一天可能大家回想
[47:49] 就会发现
[47:49] 就是他记得你那时候讲过什么
[47:52] 有的没有的东西
[47:53] 所以总之就是很自我
[47:56] 但这个自我不是负面那种
[47:58] 你去传达你想要去传达的任何东西
[48:00] 我认为他让我想到这件事情
[48:02] 那或许西美尔就是
[48:03] 他就是在传达他的自己的一些感受
[48:06] 然后让这个人看起来是非常的令人印象深刻
[48:10] 甚至你后来会怀念他
[48:11] 类似说有些朋友
[48:12] 你会去抱怨说
[48:13] 每次找他来话最多很吵
[48:15] 可是他不在的时候
[48:16] 你就会想念他
[48:17] 希望他可以来这边
[48:18] 多讲一点话之类的
[48:19] 下面一位John
[48:20] 孟公想问你
[48:21] 美股光通占比
[48:23] 美股的比例高吗
[48:24] 印象中你有提过
[48:25] Cohen
[48:26] Lumenton跟Marvel
[48:28] 那有没有哪个比较喜欢
[48:29] 像是光通测试的VIVTR
[48:31] 那想问
[48:32] Tarzan喜欢非常喜欢
[48:34] 那想问你对Nokia研究吗
[48:35] 想听听你的看法
[48:37] Nokia
[48:38] 我之前有一次有跟大家聊到
[48:39] 他好像跑去Gain另外一個也在做光線還什麼的Share
[48:43] 那他有機會在CSP拿到一些東西
[48:45] 那光通目前的比例是低的
[48:47] 因為後來我就跑去買CPU跟其他東西
[48:50] 有一段時間是很高沒錯
[48:52] 然後我最喜歡的就是Romantron跟Kohirun
[48:54] Marvel我甚至不會把它放在光通這裡面
[48:57] 就是大家都說要切啦
[48:59] 只是我不會把它放在純度高這裡面
[49:01] 然後再來講說一些像Tyrada這樣的東西
[49:04] 這個都是可以持續去關注我也蠻喜歡的
[49:06] 那Nokia的话对它是有一些转机的产生
[49:09] 它不是像大家想象的手机
[49:11] 也不是像大家想象的基地台
[49:12] 开始有去切一些比较酷的业务
[49:15] 那最近是比较没有在看光通了
[49:18] 所以有些新的update
[49:19] 可能没有办法在这边
[49:21] 跟大家做很详尽的更新
[49:23] 就是我们还是会跟着市场下
[49:24] 一些主流题材去走
[49:25] 大概这样
[49:26] 下面一位
[49:26] 一龙马
[49:27] 嗨 孟宫去卡
[49:28] 预计年底要去当兵
[49:29] 手上的部位只要是长线为主
[49:31] 又有一小部分短线的部分
[49:32] 进去前建议把短线的部位出掉
[49:35] 换大盘的ETF
[49:36] 如果你會一直想看的話
[49:37] 那當然就是換一換比較好
[49:38] 不然你可能會心神不擬
[49:39] 那好只剩下一點時間
[49:42] 我們念一個短的
[49:43] I真實獵人
[49:44] 預設高低點
[49:45] 大盤射滿臉
[49:46] 我有一件Cyberpunk的古IT都捨不得穿
[49:48] 希望GTA6可以找夢宮復刻
[49:50] 一件有諾亞安哥LISA版本的一定買爆
[49:53] 那一講突然間很多回憶出來
[49:56] 就是我自己是還蠻喜歡這些
[49:58] 遊戲的廣告
[50:00] 那時候遊戲的廣告商找我
[50:01] 他們就算可能是預算不夠什麼
[50:04] 我都還在接
[50:04] 因为我就是很喜欢游戏的东西
[50:06] 然后他们那时候就说
[50:07] 不然就帮你做一些周边
[50:09] 就大家互相
[50:10] 然后就有弄一些周边产品出来
[50:13] 那时候也觉得蛮酷蛮帅的
[50:14] 只是应该后面就是绝版
[50:16] 后面如果有厂商要帮我发一些
[50:18] 像那时候的一些周边
[50:19] 或者是粉丝像的东西
[50:22] 我应该都会拒绝
[50:23] 因为我现在就是
[50:24] 真的只想密底挂扛
[50:26] 真的只想完全的躲起来
[50:28] 真的不想要有任何的讨论
[50:29] 因为不知道为什么
[50:30] 我现在会变成
[50:30] 就进入这样子一个阶段
[50:31] 以前还会觉得说
[50:32] 有些这种酷的东西
[50:33] 蛮有趣的
[50:34] 很有梗啊
[50:35] 很好笑啊
[50:36] 好玩啊
[50:37] 现在就
[50:37] 最好我都完全隐形是最好的
[50:40] 大概这样子
[50:40] 但还是会非常喜欢
[50:42] 如果有这个游戏的广告的话
[50:43] 只是我觉得很难啊
[50:45] 因为GTA是今年好像是
[50:46] 第四季会上吧
[50:48] 但是因为我们的那个
[50:49] 广告的leet time
[50:50] 早就已经全满了
[50:51] 所以应该是没有办法
[50:53] 就算有也没有办法
[50:54] 那再见
[50:55] 拜拜
