[00:00] 欢迎收听谷爱,我是圣梦公,本集节目由Sally赞助
[40:53] 你适合把一个拳头放在你的
[40:54] 就是你平常会痛的下背那边
[40:56] 然后在吸气的时候
[40:57] 要让你的气去鼓那个地方
[40:59] 然后你就用这个方式去做
[41:01] 去顶着你可能靠背的东西
[41:03] 你会一瞬间就发现说
[41:04] 你的背变得比较舒服
[41:05] 你气有吸下去就舒服很多
[41:07] 所以这只是其中一环
[41:08] 那当然还有像什么弓箭步
[41:09] 那不是一般的弓箭步
[41:10] 是有主力训练的
[41:12] 因为他已经知道说
[41:13] 我的左下背是比较弱一点的
[41:15] 那左下背可能是跟打网球
[41:17] 用右手去揮去誘發它
[41:19] 本來沒有那麼痛
[41:20] 後來變更痛是因為這樣
[41:21] 那要怎麼樣去解決左下背呢
[41:22] 那可能就是
[41:23] 弓箭步的時候
[41:24] 你的右手膝蓋要頂著東西
[41:26] 拿去往右邊去扭它
[41:28] 等於說把你的左邊的髖給炫回來
[41:30] 反正有很多這種細項的東西
[41:31] 可是你沒有去找專業人士
[41:33] 一一的幫你檢查
[41:34] 你抓不出這種問題
[41:35] 所以我建議就大家可以去試看看
[41:37] 去把這個問題一一解決掉
[41:39] 因為是可以被解決的
[41:40] 像我的問題就已經解決超過一半了
[41:42] 那下面一位
[41:43] jhh73希望被念到part7
[41:46] 孟公好
[41:47] 去年年底跟老公登记结婚
[41:48] 有幸上次被你念到真开心
[41:50] 今年出国回来之后
[41:51] 发现放松的感觉真的很棒
[41:52] 之前一直有金钱焦虑
[41:54] 不敢花钱
[41:54] 都要感谢老公推我一把
[41:56] 期待去福冈能够看到若曦
[41:57] 5月18号是邱先生的生日
[41:59] 上次留言没有念到
[42:00] 虽然他生日过了
[42:01] 还会吃醋
[42:01] 我整天说孟公说
[42:03] 但我最爱的还是老公啦
[42:05] 那请孟公用肌肉猛男的声音
[42:07] 祝我老公生日快乐
[42:08] 下次再来试试我生日的留言密码
[42:10] 那祝福孟公一家身体健康
[42:12] 平安快乐
[42:16] 确实把金钱焦虑给放下
[42:18] 金钱焦虑
[42:19] 其实它不只是金钱的焦虑
[42:20] 它还包含着
[42:21] 因为你要去获得更多的金钱
[42:22] 你要投出很多的劳务
[42:25] 或者说去动脑
[42:25] 所以它整体来说
[42:26] 是一个非常累人的事情
[42:28] 那稍微的把这种东西给放掉
[42:30] 稍微让自己脑筋空下来
[42:32] 那确实是一个很好的体验
[42:33] 那希望你可以
[42:34] 持续维持这样子的体验
[42:35] 下面一位
[42:36] 沙猫沁
[42:37] 你混蛋但我喜欢
[42:38] 听完上集脱序的胎教跟祝福
[42:41] 我真的觉得孟公太糟糕
[42:43] 但这就是你
[42:43] 不用觉得这样不好
[42:44] 那还记得你上台通的时候分享
[42:46] 第一次Lisa过来
[42:47] 就带去给你朋友认识
[42:48] 当下你朋友就干干叫
[42:49] 我觉得就是因为你这么糟糕
[42:51] 还能够拥有Lisa
[42:52] 是我的话当下一定也是干干叫啊
[42:54] 那By the way
[42:54] 去年底开始资产
[42:56] 不容易开始加速向前
[42:57] 但因为家中太多
[42:59] 贪小便宜去接触
[43:00] 大陆币圈的传直销
[43:01] 那因此还贷款的一笔钱
[43:04] 那最近为了让老婆安心
[43:05] 就把每日股都清完
[43:07] 帮助她还贷款
[43:08] 让我觉得人生好难
[43:10] 不知道就对
[43:13] 当然家里遇到这种事情
[43:14] 我老实说
[43:16] 如果是我的话
[43:17] 我会蛮生气的
[43:18] 但就是发生了
[43:20] 就是要去处理
[43:20] 因为毕竟两夫妻在一起
[43:22] 这样讲
[43:23] 老婆或者说老公
[43:25] 是你各位跟我自己
[43:27] 我们这一辈子
[43:28] 唯一可以选择的家人
[43:30] 对吧
[43:30] 你爸妈你不能选
[43:31] 你生下来就是配这两个
[43:33] 或甚至是一个
[43:34] 或甚至是不知道
[43:35] 你爸妈是谁
[43:35] 你也不知道
[43:36] 但那是天注定的
[43:38] 那你的小孩
[43:39] 严格上来说
[43:40] 你能够决定
[43:41] 要不要让他出来
[43:42] 可是出来之后
[43:43] 你也是没得选嘛
[43:45] 那就是跟你了
[43:45] 那他个性是怎么样
[43:46] 你没得选
[43:47] 可是老公跟老婆是可以选的
[43:49] 所以当一个东西是你可以选择的
[43:51] 然后结果他
[43:53] 可能稍微的累了一下
[43:54] 有时候会生气吧
[43:56] 会怎么样吧
[43:57] 会觉得说
[43:58] 我怎么会做出这样的判断
[43:59] 是不是要换人或什么
[44:00] 所以会比较容易有那种挫折感
[44:02] 可是你要换个角度说
[44:03] 就是每个人都会犯错
[44:05] 那今天可能他犯的错是这种
[44:06] 老实讲你说拿钱还又还就解决了
[44:08] 搞不好之后你犯的错是什么
[44:09] 你犯的错是你的身体不好
[44:11] 然后你卧病在床
[44:13] 结果是你老婆在照顾你之类的
[44:14] 所以我觉得夫妻就是要互相的扶持
[44:17] 当下有脾气已经正常的
[44:19] 就是对方犯了什么错或怎么样的
[44:21] 可能是讲了很多次
[44:22] 那你怎么还是一样会被雷
[44:23] 怎么还是会贪心
[44:24] 可是你要知道
[44:25] 有一天你也可能会犯错
[44:26] 那老婆跟老公是唯一一个
[44:28] 就是我们这辈子可以自己选的家人
[44:30] 所以还是要好好地照顾一下
[44:32] 如果对方是有悔悟
[44:33] 是有去修正的
[44:35] 那我们就是把他善后
[44:36] 这个是没有问题的
[44:37] 那当然没有悔悟
[44:38] 没有修正
[44:38] 还一直要往死里去的
[44:40] 那个另当别论
[44:41] 大概这样
[44:41] 下面一位
[44:42] 旅人救世間
[44:44] 他講的不做講
[44:46] 靴子裡有蛇
[44:47] 鋼門裡也有
[44:48] 開始了
[44:49] 開始有怪咖出來
[44:49] 老闆很久沒有鬼叫
[44:51] 可以請你大叫一聲給我聽嗎
[44:52] 我現在已經
[44:52] 我已經叫不出來了
[44:53] 我已經沒有力氣了
[44:54] 我看到昨天那個盤
[44:55] 我沒有力氣了
[44:56] 想問老闆會買
[44:57] 不知道為什麼在漲的股票嗎
[44:59] 這到底問是什麼問題啊
[45:01] 這不是都講到爛掉
[45:02] 為什麼我要去買一個
[45:03] 我不知道什麼在漲的
[45:04] 我知道為什麼在漲了這麼多
[45:05] 為什麼我要去買一個
[45:06] 我不知道為什麼在漲的
[45:07] 你去買這種
[45:08] 就很容易受傷啦
[45:09] 就想啊
[45:10] 記住面
[45:10] 啊
[45:11] 有氣就好
[45:11] 起就好
[45:12] 又起来又冲进去
[45:13] 这个死掉的机率都偏高了
[45:15] 我觉得
[45:16] 那有发现龙岩几乎每年都会来一波很凶狠的涨势
[45:19] 只是完全不懂为什么会涨
[45:21] 1月10号发现涨停后
[45:22] 隔天果断市价单上车
[45:24] 一周后一根绿K就出场了
[45:25] 面对不知道上涨理由的股票
[45:27] 癌老板会怎么抓停损停利
[45:28] 这个就有点像说去玩乐透的感觉
[45:31] 我感觉有点像
[45:32] 只是胜率比乐透高蛮多的东西
[45:34] 我是不会去做这样子的事情
[45:36] 那我也不鼓励去做这样子的事情
[45:38] 那你说一根绿K就出场
[45:40] 我觉得还OK
[45:40] 简单来讲就是说
[45:41] 你是技术面进来
[45:42] 技术面出去
[45:43] 前后逻辑一样是OK的
[45:44] 只是我不会去做这种事情
[45:45] 就像我不会去做什么
[45:47] 无本当充
[45:48] 什么每日当充
[45:49] 我不做这种事
[45:49] 很多人会跟你鼓吹
[45:50] 有些事情就是
[45:52] 你做的期望就不高
[45:53] 所以就不要浪费生命
[45:54] 去做那样的事情
[45:54] 如果你还是做很开心的话
[45:56] 那就加油
[45:57] 加油
[45:58] 下面一位
[45:58] 老黄懂吃懂太常跳过
[46:00] 下面一位
[46:01] 我要当个好爸爸
[46:02] 宝宝一定是忘了带
[46:03] 梦工大
[46:04] 我老婆因为身体有些状况
[46:06] 难以自然受孕
[46:07] 今天我们做了两次试管
[46:08] 第一次失败十分沮丧
[46:10] 终于在第二次成功
[46:11] 当下听到消息激动了落泪
[46:13] 非常心疼老婆挨真的辛苦
[46:15] 到了第六周回诊的时候
[46:16] 医生帮我测了心跳
[46:18] 至今忘不掉宝宝有力的心跳声
[46:20] 但非常遗憾在第八周
[46:21] 准备临妈妈手册的时候
[46:22] 检查出宝宝胎停
[46:23] 那真的很难过
[46:25] 也难以接受这个事实
[46:26] 但我们都告诉彼此
[46:27] 宝宝一定是东西忘了带
[46:28] 那我们会打起精神
[46:30] 准备好迎接他再次到来
[46:31] 我觉得这种事情
[46:35] 用这样的心态处理是对的
[46:37] 那希望你们可以持续的
[46:38] 维持正向
[46:40] 就像刚刚前面提到的一小段
[46:42] 因为我们在人生之中
[46:43] 我们不知道会遇到什么事情
[46:45] 其实很多我们的苦难
[46:46] 不然说像之前有一个工作到
[46:48] 让他可能压力很大
[46:49] 很忧郁的
[46:50] 我那时候也是有点
[46:51] 就是可能不慎发言
[46:53] 在一些人的眼中
[46:54] 我就跟他讲说
[46:55] 你这根本没什么
[46:55] 因为那真的没什么
[46:56] 因为只要你可以转个念
[46:58] 立刻转念
[46:59] 然后或者说立刻选择
[47:01] 我不爽干
[47:02] 我辞职或什么的
[47:03] 你只要有选择的东西
[47:04] 立刻股票去降杠
[47:06] 立刻去把本来可能
[47:08] 掉下来的东西
[47:09] 煎起来什么的
[47:09] 你只要可以去
[47:11] 因为你的作为
[47:12] 就改变了事情
[47:13] 那个真的
[47:13] 不算什么烦恼
[47:15] 特别是我觉得
[47:16] 很多地方爸妈
[47:17] 可能跟我一样
[47:18] 那时候二儿子
[47:19] 遇到一些事情
[47:20] 当你开始有这些
[47:21] 你没有办法做任何事情的
[47:25] 那种东西出来之后
[47:27] 你对世界的感受
[47:29] 会变得很不一样
[47:29] 以前你曾经以为是
[47:31] 很严重很大条的东西
[47:33] 你后来就发现
[47:33] 那根本就没什么
[47:34] 然后你也会理解
[47:36] 像一些那种很俗套的话
[47:37] 钱可以解决的
[47:38] 真的都不是问题
[47:39] 有很多东西是
[47:41] 你有再多钱
[47:42] 你有再多的意志力
[47:44] 好像以前我都是那种
[47:45] 人定胜田的
[47:46] 我就会知道说
[47:47] 有些事情
[47:47] 我没有办法解决
[47:49] 所以当面对这种事情的时候
[47:50] 就最好的方式
[47:51] 就像这两位
[47:53] 听众朋友们
[47:55] 我不知道他的太太是不是
[47:56] 反正总之就是
[47:57] 稍微的去期待未来
[48:00] 因为也只能够这样
[48:01] 那要知道其实每个人
[48:02] 都一定会遇到一些
[48:03] 不好的事情
[48:04] 最后面的好事
[48:05] 终将会发生
[48:06] 只能够这样
[48:06] 人是要維持樂觀的
[48:07] 維持樂觀才有藍料去面對每一天
[48:10] 下面一位
[48:10] 林口太會吃飯
[48:12] 好了你幫幫人民的
[48:13] 為基金設立福利天主善的
[48:15] 後面那是我接的
[48:16] 你看這就是暗號
[48:17] 前面講那個我後面是要接這個
[48:19] 還是有人懂G.I. Joe的
[48:21] 所有G.I. Joe的回憶都回來了
[48:22] 看到很多人都有共同的回憶
[48:24] 讓我覺得這個同溫層超讚
[48:26] 請夢共用川普的語氣做的
[48:28] 好媽祭阿井6月15號
[48:30] 生日快樂
[48:32] What a great guy this is
[48:33] 下面一位
[48:34] SMLO加马一颗新当标题
[48:37] 川普声音
[48:38] 然后后面要祝我生日快乐
[48:40] 我是不太习惯跟我自己讲
[48:41] 这个生日快乐
[48:42] 非常感谢大家的心意
[48:44] 那周四在Computax
[48:45] 收获满满却没有遇到主委
[48:47] 太遗憾了
[48:48] 那真希望可以跟MK
[48:49] 当面交流业界的心得
[48:50] 那最后请蒙公
[48:51] 右手向前做出弹额头的手势
[48:54] 永唱九缸偏光
[48:57] 鸟语声明
[48:58] 表里之间虚是词
[49:00] 那词还在滑
[49:01] 一个草下面一个词
[49:02] 这是什么奇怪的东西
[49:03] 该不会讲了之后
[49:04] 待会我原地肛门爆炸之类的
[49:06] 对这位兄弟
[49:07] 好像你在AMD上班吧
[49:09] 我没记错的话
[49:09] 因为我们在球场有遇到过
[49:12] 然后记得是
[49:12] 他跟我讲
[49:13] 那是他的IT或什么的
[49:14] 我现在看到AMD在汉来
[49:16] 好像有一个实展
[49:17] 或许如果以后有酷的东西的话
[49:19] 我也会想去看看
[49:20] 对那一天是没有看到AMD的东西
[49:22] 比较可惜没有遇到
[49:23] 那非常感谢你的祝福
[49:24] 那再念最后一个
[49:25] 最近在看刚练的1G
[49:27] 某关安
[49:28] 最近的人生问题是
[49:29] 不知道怎么跟小六的侄女说
[49:31] 不要太管闲事和太分享
[49:33] 因為有些小朋友不一定會想接受他的好意
[49:35] 那還想請猛公用猛男語音包住我的三位好朋友
[49:38] 北屯大寶挖 潘寶 封上蘋果汁
[49:42] 六月份生日快樂
[49:43] 那也順便請潘寶跟封上蘋果汁
[49:46] 趕快去玩活俠傳吧
[49:47] 感謝夢宮的呼籲
[49:48] 那真的是一款非常棒的遊戲
[49:50] 那希望有一天可以在皮諾克遇到您跟Liza
[49:53] 也祝福全家跟秋口健康快樂
[49:55] 非常感謝
[49:55] 那我們祝他們生日快樂
[49:58] 那也希望你們玩活俠傳快樂
[49:59] 那再見
