[00:00] 歡迎收聽谷外,我是孟公,本期節目由英國TravelBlue贊助
[37:06] 我自己如果遇到的話
[37:07] 就除非我今天看到
[37:08] 你是立刻就有死亡的危險
[37:11] 那我可能出手拉你救你一下
[37:12] 或是其他的
[37:13] 我現在在路上
[37:14] 我真的有看到很多東西
[37:15] 我都覺得說不干我的事
[37:16] 我老婆看到
[37:17] 她很多時候都會想要去出手
[37:18] 幫忙人家弄一下什麼
[37:19] 或是說看到人家路上
[37:20] 什麼突然間有一個女生一直在叫或是說有一個男生看起來好像怎麼樣他說要去幫忙我跟他說不要我說你是不是沒有玩RDR2你是不是沒有玩Red Dead Redemption什麼有人被馬壓的結果那個媽是假的你一下來他們就要搶你其實我對這個社會的信賴感
[37:33] 好像是降到很低
[37:34] 我說在實體的生活之中
[37:35] 我就是會這樣覺得說
[37:36] 那又不是我的事情
[37:37] 或者說我看到
[37:38] 我不要自己去救你
[37:39] 我打電話叫警察之類的
[37:40] 類似這樣子
[37:41] 你可能靠這樣子
[37:42] 就會避免一些
[37:42] 你也不用去
[37:43] 這麼的討厭說
[37:44] 因為可能少部分
[37:45] 幾個女生這樣做
[37:46] 你就覺得說
[37:47] 女生as a whole都是不好的東西
[37:49] 應該不是這樣的一個狀態
[37:50] 這樣維持正向樂觀一點
[37:52] 兄弟會
[37:52] SMLO MI450
[37:54] 股價450
[37:55] 首先請猛公用猛男的聲音
[37:57] 祝北屯胡先生AK小麥爸
[37:59] 12月17號生日快樂
[38:02] 這個樣子猛男勝虧的聲音
[38:04] 沒有想到挨大還記得我
[38:06] 沒錯我就是2022年
[38:07] 在桃園球場找您籤書合照的爪爪
[38:09] 那近年比較少留言
[38:11] 是因為無論工作或者投資
[38:12] 常常留言區打完字之後
[38:14] 自己就有答案了
[38:15] 於是留言密碼就讓給別的聽眾了
[38:17] 那也許是節目聽了四年多
[38:18] 觀念都內化了吧
[38:20] 一直以來聽主演的節目
[38:21] 好像在聽一個朋友
[38:22] 每週兩次分享他的喜怒哀樂一樣
[38:24] 也從中帶給我很多很多
[38:26] 那無論節目形式怎麼樣變
[38:27] 都永遠支援你
[38:28] 因為可能你會是那位
[38:31] 說我
[38:32] 他直接留歌詞
[38:33] 他我就沒辦法
[38:34] 你是我奇蹟
[38:37] 對
[38:39] 那非常感謝這位聽眾的一個支援
[38:42] 那確實就像他講的
[38:43] 就像我自己也會
[38:44] 我以前會去
[38:46] 像那個Ben Thompson的文章
[38:47] 我以前每篇都會看
[38:48] 之後因為他這文章真的都太長了
[38:50] 雖然很好
[38:50] 就是看久也覺得說
[38:53] 反正就那樣
[38:53] 就是我已經基本上
[38:54] 我看到一個事件
[38:55] 我已經腦中可以去想起
[38:56] Ben Thompson會怎麼樣評論
[38:58] 所以我好像也不用看
[38:59] 因為我已經知道他會講什麼
[39:00] 類似這樣
[39:00] 只是我自己還是會希望說
[39:02] 去做出一些surprise
[39:03] 就是說
[39:04] 不要讓人家這麼容易掌握到自己
[39:06] 雖然好像說感覺是要用演的
[39:08] 但其實也不是
[39:09] 因為我們確實也在成長的過程之中
[39:11] 有一些東西會讓我們的想法
[39:12] 開始去做一些改變
[39:13] 因為這樣子可能
[39:15] 以前做的判斷跟現在做的判斷不一樣
[39:17] 所以就感覺說
[39:18] 還是可以維持一個有趣的狀態
[39:20] 我也是很討厭無趣的人
[39:21] 就是那種完全可預測的人
[39:23] 我就覺得不喜歡
[39:23] 所以對了
[39:25] 就如果說可以持續帶給大家一些
[39:27] 思想上的幫助
[39:29] 或者說多元性
[39:30] 那可能都是一個不錯的事情
[39:32] 非常感謝大家的支援
[39:33] 下面一位
[39:33] 博佑客服小書童
[39:35] 玄學我只相信探極霸的機票
[39:37] 最安
[39:38] 我是非盈利組織的社工
[39:40] 2025快過去了
[39:40] 今年4月份的川普關稅
[39:41] 讓很多的船船跟中小跌倒
[39:43] 後來的花蓮大地震
[39:44] 也讓大家把捐款都集中到了花蓮
[39:46] 連帶的也影響到很多
[39:47] 非盈利組織的捐款收入
[39:49] 那最近才知道
[39:50] 原來我們機構也還有
[39:51] 大概3000萬的缺口
[39:53] 掛號苦笑
[39:53] 最近臺股又創新高了
[39:55] 也希望大家的績效
[39:56] 可以繼續to the moon
[39:57] 那也希望愛達的頻道
[39:58] 破1000集的時候
[39:59] 可以有粉絲感謝記
[40:01] 不知道我連會不會有1000集
[40:03] 我都不太確定了
[40:04] 如果有的話
[40:04] 我們再看可以做什麼事情
[40:06] 那OK
[40:07] 協助呼籲一下大家
[40:08] 當然這個不是隻是打嘴巴
[40:10] 因為我是很討厭
[40:11] 就整天在那邊說什麼
[40:12] Race Awareness跟呼籲的
[40:13] 你要就他媽自己教一做
[40:14] 我們真的就是一直有在捐
[40:16] 這個我自己
[40:16] 我不只是捐什麼機構跟組織
[40:19] 我搭計程車
[40:20] 像去德國搭計程車
[40:21] 就每個都一直去塞小費
[40:22] 在臺灣搭計程車我一直給小費
[40:24] 昨天遇到一個阿姨載我回來
[40:27] 我給她1000塊小費
[40:28] 她嚇到說第一次有人給我這個
[40:30] 謝謝謝謝謝謝
[40:31] 就一直跟我謝謝
[40:31] 就我看到這種
[40:33] 我自己心情也很好
[40:33] 也很爽
[40:34] 所以我後來是把一個
[40:36] 怎麼講
[40:37] 反正就是說一個朋友教我的東西
[40:38] 內化進來
[40:40] 因為我那個朋友
[40:41] 他就是整天在捐錢
[40:42] 他捐超級多錢
[40:43] 非常誇張
[40:44] 他就跟我講說
[40:45] 錢就是要流動
[40:46] 錢要流動
[40:47] 你要相信說
[40:48] 你的錢一直去給出給別人
[40:49] 而且你給那些需要的人
[40:51] 他需要這筆錢
[40:51] 你直接給到他手上
[40:53] 然後拿到這筆錢的時候
[40:54] 你看他的反應
[40:55] 你就知道說他很高興
[40:56] 或者說這筆錢
[40:56] 他就可以立刻的回家
[40:57] 帶小朋友去吃東西
[40:58] 或什麼的
[40:58] 你就是一直把錢給出去
[41:00] 然後給久了之後
[41:01] 你就覺得你自己的能量也很好
[41:02] 所以我自己也是很相信
[41:04] 這樣子的東西
[41:04] 我就持續的
[41:05] 反正只要我可以付出的地方
[41:06] 我都會盡力的去付出
[41:07] 我覺得失比受更有福
[41:09] 雖然聽起來
[41:10] 像老人家講的話
[41:10] 但真的是體驗過之後才知道
[41:12] 所以也呼籲大家
[41:13] 就如果有點餘裕的話
[41:15] 你可以試看看這個方式
[41:16] 你就試看看開始
[41:17] 你不用一開始就給很多
[41:18] 你就是先從一些
[41:19] 小細節的方面
[41:20] 幫你服務的人
[41:21] 提供你很好服務的人
[41:23] 或者說
[41:23] 你周邊看得到的一些組織
[41:25] 你給他一點點
[41:26] 然後你觀察一下
[41:27] 你的生活跟心情上的變化
[41:28] 如果好的話
[41:29] 就可以加大
[41:30] 或者持續的去做
[41:31] 那這邊
[41:32] 希望大家都可以
[41:33] 持續的經營下去
[41:35] 下面一位
[41:35] 懶敢斬懶敢
[41:37] 這是他寫的
[41:38] 不是我那個發音怪怪
[41:40] Copos是念Copas不是Copos
[41:43] 非常感謝
[41:44] Copas
[41:44] 就像我之前也是念Cowas
[41:46] 然後後來是那個業界人過來的時候
[41:47] 那個念Cowas
[41:48] Cowas
[41:49] 對因為我們絕大多數都是靠閱讀
[41:52] 閱讀或者看人家的訊息
[41:54] 所以有些發音
[41:55] 如果那種業界有所正確的念法
[41:57] 歡迎大家都可以來跟我更正一下
[41:59] 所以是念Copas跟Cowas一樣
[42:01] 那上週幫兒子抓粥的時候
[42:03] 我跟老婆一直決定
[42:04] 自己家簡單佈置
[42:05] 並由我主持
[42:06] 邀請親近的家人
[42:08] 一起來參加
[42:09] 再訂幾個披薩
[42:10] 外賣
[42:11] 開心聚一聚即可
[42:12] 從社群上看到那些
[42:13] 幼兒的軍備競賽
[42:14] 真的很可怕
[42:15] 那想借助主委
[42:16] 緊口跟新手爸媽
[42:17] 說關掉社群
[42:18] 你能給予孩子
[42:19] 當下你能給予最好的
[42:20] 就是最棒的父母了
[42:21] 那最後祝福大家
[42:22] 平安健康
[42:23] 績效長紅愛你
[42:24] 我覺得這位兄弟
[42:25] 講的是對的
[42:25] 這也是我一直在節目
[42:26] 也不敢講說
[42:28] 是呼籲大家
[42:29] 但我都會提醒大家
[42:30] 就想說讓社群的東西
[42:31] 不要看太多
[42:31] 那看多真的會生病
[42:33] 因為連我們自己去看
[42:34] 有時候覺得說
[42:35] 你們到底在講什麼
[42:35] 或者說大家想象的
[42:36] 什麼有錢人的世界
[42:37] 然後寫的一副
[42:38] 那種偷偷世道
[42:39] 可是我們自己就知道說
[42:40] 你就在亂寫
[42:41] 或者說好
[42:42] 可能真的有像你講的
[42:43] 這樣子的
[42:43] 但那一定不是全部
[42:44] 之類的
[42:45] 所以很多人會去幻想
[42:46] 一些有的沒有的東西
[42:47] 然後就無形中的
[42:48] 去幫大家產生很多壓力
[42:50] 或者說你在一些
[42:50] 社群上面就看到說
[42:52] 不知道好像說什麼
[42:52] 你30歲沒有
[42:53] 幾百萬一千萬
[42:54] 你就等於是窮鬼
[42:55] 可是實際上我們看到數字
[42:56] 中位數或者大家的儲蓄
[42:57] 就真的不是這樣子
[42:58] 所以網路就是儘量少看一點
[43:01] 那我自己是這樣認為的
[43:02] 當然以前也曾經想過說
[43:03] 是不是要多少錢
[43:04] 才可以養小朋友
[43:05] 那當然一定都想過
[43:06] 一定都擔心過
[43:07] 可能也是因為我們看很多社群
[43:08] 所以會去想
[43:08] 可是最後沒有發現說
[43:10] 其實小朋友最需要的是陪伴
[43:11] 如果說你有辦法給一堆錢
[43:13] 你沒有辦法陪伴
[43:13] 你還是一個很鳥的家長
[43:15] 我真的是這樣覺得
[43:16] 就是我覺得給錢
[43:17] 不是一個什麼了不起的事情
[43:18] 所以像我自己在家裡的主要角色
[43:20] 老實講還是以給錢為主
[43:21] 只是我儘量去做到陪伴
[43:22] 因為我知道給錢
[43:23] 並不是了不起的事情
[43:24] 你可以陪伴一個小朋友
[43:26] 你可以去買一個簡單的小蛋糕
[43:28] 然後唱一首歌給他聽
[43:30] 吹蠟燭
[43:31] 然後陪他念故事
[43:31] 相信我
[43:32] 你獲得的回饋
[43:33] 絕對是遠大於說
[43:34] 你搞一個不知道
[43:35] 就是什麼超大的
[43:36] 那種半趴的中心
[43:37] 然後邀他所有的朋友來
[43:38] 然後什麼
[43:39] 大家去弄一個
[43:41] 那種很glamorous的
[43:42] 一個什麼party
[43:43] 什麼的
[43:43] 然後接著回家
[43:44] 你都不屌你的小朋友
[43:45] 哪一個比較好
[43:47] 這個我們身為家長都知道
[43:48] 一定是那種簡單幸福
[43:50] 重點是陪伴
[43:51] 那個是比較好的
[43:51] 那當然你有點餘裕
[43:52] 你可以去搞大的辦大的
[43:54] 都沒問題
[43:54] 可是你不能夠忽略
[43:55] 核心還是在陪伴這一塊
[43:57] 那只是現在
[43:58] 我跟講很多時候
[43:59] 甚至我講一個難聽一點的
[44:01] 我自己去觀察
[44:02] 為什麼我跟你們講說
[44:03] 社群少看
[44:04] 社群上面很多在評論
[44:06] 怎麼樣帶小孩的
[44:06] 雖然我這樣講可能是抱怨
[44:08] 可是就第一個
[44:10] 那一看到就知道
[44:10] 他就是生不出來的
[44:11] 他就是沒有小孩
[44:12] 他在幻想
[44:13] 或者說他就同性戀
[44:14] 他在評論小孩
[44:15] 我想說你們在幹嘛
[44:16] 有很多在講說
[44:16] 小孩應該要怎麼帶
[44:17] 沒有錢的
[44:18] 沒有資格生小孩
[44:19] 這些人就是
[44:20] 不會生小孩的人
[44:21] 他們在教你生小孩
[44:22] 就為什麼是世界上
[44:23] 一堆太監在教做愛
[44:25] 不知道大家有沒有發現
[44:26] 就是這種外行
[44:27] 想要去教內行的
[44:29] 很多超級多
[44:31] 不會coding的
[44:32] 要教你怎麼樣coding
[44:33] vibecoding
[44:34] 婚姻一坨屎的
[44:36] 然後去當兩性專家
[44:37] 或者說那種
[44:38] 你點進去
[44:39] 看他的主頁都在厭世的
[44:41] 他甚至都討厭他自己
[44:42] 他都在懷疑自己
[44:43] 要不要活下來
[44:43] 在評論說什麼
[44:44] 人到底該不該有下一代
[44:45] 不是
[44:46] 你想要自我毀滅
[44:47] 你趕快自己下去
[44:48] 好不好
[44:48] 你不要去罵去影響別人
[44:50] 去人家那種媽媽
[44:51] 很辛苦在帶小孩的
[44:52] 在那邊po一堆
[44:53] 他媽雞巴幹話
[44:54] 跟人家講說
[44:54] 什麼小孩應該怎麼樣做
[44:56] 他媽幹你屁事
[44:57] 你趕快去自我毀滅吧
[44:58] 人道銷燬
[44:58] 趕快去報名吧
[44:59] 趕快開放安樂死
[45:00] 讓這些人去一去吧
[45:01] 你知道就是
[45:02] 我很多時候看到這種
[45:03] 我心裡是難受的
[45:04] 因為我就覺得說
[45:05] 大家其實很多時候
[45:06] 不然像我老婆也是
[45:07] 我老婆會聽到一些意見之後
[45:10] 然後跑回來跟我講說
[45:11] 她很難受
[45:12] 因為怎麼樣
[45:12] 我就直接跟她講說
[45:14] 你為什麼要聽那個人的意見
[45:16] 很多時候我看我老婆
[45:17] 拿一些網友
[45:17] 或說誰的東西來跟我講
[45:19] 他看了
[45:19] 他覺得心情受影響
[45:20] 我想說
[45:21] 你隔壁有我
[45:22] 我不敢講
[45:23] 我自己多頂多屌
[45:24] 可是我一定比那個人屌
[45:25] 他媽不知道幾條街
[45:26] 你不喜歡聽我講的
[45:28] 你不覺得
[45:28] 這很像以前那種長輩嗎
[45:29] 他不喜歡聽醫生講的
[45:30] 他要去聽賣藥電臺的
[45:31] 你他媽
[45:32] 你不聽專業的人講
[45:33] 你不聽一個
[45:34] 當然我們講說
[45:35] 不要去做什麼權威崇拜
[45:36] 可是老實講
[45:36] 權威的人比起一個網友
[45:38] 我還是要相信權威
[45:39] 我還是要相信專業
[45:40] 好不好
[45:41] 不要說我們是專業崇拜
[45:42] 或是洋劇崇拜
[45:43] 你只是信那種最屌的
[45:44] 不然我媽我不信最屌
[45:45] 我要信魯蛇講的話
[45:47] 是不是
[45:47] 看一堆低端分子
[45:48] 講那種低端狗話
[45:50] 然後接著跑回來
[45:50] 自己受到心情影響
[45:52] 開始會有什麼育嬰恐懼
[45:53] 開始會覺得說
[45:54] 是不是要加入軍備競賽
[45:55] 一堆他媽的
[45:56] 你知道為什麼很多人
[45:57] 會去做那種軍備競賽嗎
[45:58] 我也是
[45:59] 這當然可能又要抱怨了
[46:00] 那一堆去做軍備競賽的
[46:02] 你仔細看一下
[46:03] 他是不是在家沒事做
[46:04] 他就是在家沒事做
[46:05] 然後他老公
[46:06] 或是他老婆很會賺錢
[46:07] 他就是要去證明他的價值
[46:09] 這都要怎麼樣
[46:10] 趕快壓著小朋友一定要去
[46:11] 學個什麼某個才藝來證明說
[46:14] 這個是我帶出來的
[46:15] 趕快去辦個活動
[46:16] 來呈現自己很屌
[46:17] 趕快去什麼拉擋結派
[46:18] 好像以前不是有發生過嗎
[46:20] 什麼收入多少
[46:21] 學歷多少的不準進來
[46:22] 這都是一堆低端人口
[46:24] 低端人口不代表說不會有錢
[46:26] 有錢的還是可以是低端人口
[46:28] 智商高的還是可以是低能兒
[46:29] 他只是說可能比較會念書
[46:31] 考到比較好的地方
[46:32] 不代表他人生機遇
[46:33] 或者成就會比較好
[46:34] 只是很多人會受到這些人的影響
[46:36] 他受到一個
[46:37] 你根本就沒有小孩的人
[46:38] 然後再跟你講說
[46:39] 小孩該怎麼樣帶怎麼樣生
[46:40] 去網路上看到大家在那邊指教
[46:42] 在教說怎麼樣帶小朋友
[46:44] 什麼不會教就不要生
[46:45] 一堆沒有家教的
[46:47] 會講這種話就是沒有家教
[46:48] 可以去用幹
[46:49] 去用幹你屁
[46:50] 去洗洗那種廢物仔
[46:52] 整天講那種沒有營養的東西
[46:54] 然後影響到真的很認真
[46:55] 在帶小朋友的這些人
[46:56] 開始在懷疑說是不是我們不夠
[46:58] 是不是我們不夠努力
[47:00] 沒有各位你們做得很好
[47:01] 我不要相信他媽低能而講的話
[47:03] 所以真的是這樣
[47:04] 那下面一位
[47:05] 個人研究小菜雞
[47:06] 吹爆的五星好評節目
[47:08] 挨大您好
[47:08] 最近在研究細光子這個題材
[47:10] 但似乎陷入一個死迴圈
[47:12] 一直卡在鐳金鐳射的應用方面
[47:14] 跟光收發模組
[47:15] 這三者之間的關係
[47:17] 目前知道是利用薄膜製成
[47:19] 將零化硬基板
[47:20] 經過三五化合物進行加工後
[47:22] 形成鐳金
[47:23] 在進行加工後
[47:24] 所製造出的鐳射晶片
[47:27] 到這邊就卡住了
[47:28] 那請挨大
[47:28] 鐳射是如何應用的
[47:29] 又是如何光轉電
[47:31] 電轉光的
[47:31] 懇請愛達開市
[47:32] 祝一家平安開心
[47:34] 這個好像有點
[47:35] 要我去當那個百科全書的感覺
[47:37] 那OK
[47:38] 我大概說明一下
[47:39] 那個累金是什麼
[47:40] 累金就是說
[47:41] 反正你可以想象
[47:42] 就是把材料
[47:43] 變成是那種千層派
[47:44] 然後去堆疊
[47:45] 那它上面呢
[47:47] 去長一些那種特殊的
[47:49] 三五足的化合物
[47:50] 然後接著就會讓這個東西
[47:51] 有發光的物理可能性
[47:52] 所以這個其實是一個
[47:54] 很困難的過程
[47:55] 那相關的廠商
[47:56] 當然在這方面
[47:56] 就我覺得可以賺到很多錢
[47:57] 然後再講說這個Laser Chip
[47:59] 或者說Laser是幹嘛
[48:00] 那Laser呢
[48:01] 就是說電轉光的一個過程
[48:02] 你可以把這個
[48:03] Laser dial等等
[48:04] 相當成說
[48:05] 它就是一個手電筒的感覺
[48:06] 因為電腦去給訊號
[48:08] 這個就是一個電流的過程
[48:09] 就有點類似說
[48:10] 你今天去推手電筒的開關
[48:12] 所以如果你今天要傳1010的話
[48:14] 那可能1就是開
[48:14] 然後0就是關
[48:15] 類似這樣
[48:16] 所以電就是透過這個
[48:18] Laser晶片去把它變成是光
[48:20] 然後把它打出去
[48:21] 那接著呢
[48:22] 它就會需要一個
[48:23] 這個Optical Receiver
[48:24] 或者說Photo Detector
[48:25] 它就是類似說是接收器
[48:27] 是一個眼睛
[48:28] 我今天看到你
[48:29] 那個光打過來了
[48:30] 量是1
[48:31] 然後按是0
[48:31] 1010
[48:32] 然後接著就把這個東西記錄起來
[48:35] 還原成為電腦看得懂的
[48:36] 電訊號再把它傳出去
[48:38] 所以這個就是Transceiver Module
[48:40] 也就是去收這個訊號的東西
[48:43] 那當然這個模組
[48:44] 因為我們講光收發
[48:45] 所以發或是收
[48:46] 這都是可以把它放在
[48:47] 這個Transceiver Module裡面去
[48:49] 那你可以想象成說
[48:50] 它就是把這些晶片
[48:52] 然後跟控制IC
[48:53] 全部把它裝進去一個
[48:55] 模組就想象成說
[48:56] 反正就是某一個金屬
[48:57] 或是塑膠的盒子裡面
[48:58] 把它組在一起
[48:59] 然後變成是一個
[48:59] 原件
[49:00] 然後接著他可能就留一個
[49:01] pluggable的孔
[49:02] 然後你就可以去接光線出去
[49:04] 這個就是一個module
[49:06] 所以這樣講
[49:06] 不知道你聽不聽得懂
[49:07] 反正一個是
[49:08] 累金可以講成說材料
[49:09] 然後材料做出來
[49:10] 變成是晶片
[49:11] 那這個晶片可以本身
[49:12] 透過它的
[49:13] 這個物理的運作呢
[49:15] 讓它從電變成是光
[49:17] 然後傳到receiver之後
[49:18] 再把它轉移成電
[49:19] 所以光電的轉換
[49:20] 就這樣發生了
[49:21] 那這個就是我們在講說
[49:22] 光通訊
[49:23] 大原則上就是這個樣子
[49:26] 那CPU是什麼東西呢
[49:27] 如果後來進來到CPU的話
[49:28] 就是你去想象成說
[49:29] 因為這個盒子之間
[49:30] 他們的距離太遠了
[49:32] 就是module之間距離太遠
[49:33] 所以他希望說
[49:33] 直接把那個雷射晶片
[49:35] 就是說把手電筒
[49:36] 直接放在這個晶片的旁邊
[49:37] 那就把它包在一起
[49:38] 這個就是我們講的
[49:39] 這個光電共封裝CPU
[49:41] 所以希望這樣子
[49:42] 你可以聽懂
[49:43] 當然我講的可能不是那種
[49:44] 超級技術猛男
[49:45] 會可以認知的東西
[49:47] 那我一般是用那種
[49:49] 就是比較牢獄能懂的方式
[49:50] 也是我自己可以理解的方式
[49:52] 去做翻譯
[49:52] 希望對你有所幫助
[49:53] 好那再見拜拜
